1.00E+05,2.72E+01,-6.08E+00
7.94E+04,2.77E+01,-7.62E+00
6.31E+04,2.82E+01,-9.39E+00
5.01E+04,2.88E+01,-1.15E+01
3.98E+04,2.96E+01,-1.40E+01
3.16E+04,3.05E+01,-1.71E+01
2.51E+04,3.16E+01,-2.07E+01
2.00E+04,3.29E+01,-2.51E+01
1.59E+04,3.46E+01,-3.04E+01
1.26E+04,3.67E+01,-3.68E+01
1.00E+04,3.94E+01,-4.44E+01
7.94E+03,4.28E+01,-5.34E+01
6.31E+03,4.71E+01,-6.42E+01
5.01E+03,5.24E+01,-7.68E+01
3.98E+03,5.88E+01,-9.18E+01
3.16E+03,6.66E+01,-1.09E+02
2.51E+03,7.60E+01,-1.29E+02
2.00E+03,8.71E+01,-1.53E+02
1.59E+03,9.98E+01,-1.81E+02
1.26E+03,1.15E+02,-2.14E+02
1.00E+03,1.32E+02,-2.53E+02
7.94E+02,1.53E+02,-2.99E+02
6.31E+02,1.76E+02,-3.54E+02
5.01E+02,2.03E+02,-4.21E+02
3.98E+02,2.37E+02,-5.01E+02
3.16E+02,2.76E+02,-5.97E+02
2.51E+02,3.25E+02,-7.10E+02
2.00E+02,3.84E+02,-8.45E+02
1.59E+02,4.57E+02,-1.01E+03
1.26E+02,5.45E+02,-1.19E+03
1.00E+02,6.55E+02,-1.42E+03
7.94E+01,7.81E+02,-1.68E+03
6.31E+01,9.42E+02,-1.98E+03
5.20E+01,1.10E+03,-2.28E+03
3.98E+01,1.37E+03,-2.76E+03
3.16E+01,1.65E+03,-3.24E+03
2.51E+01,1.99E+03,-3.78E+03
2.00E+01,2.39E+03,-4.42E+03
1.59E+01,2.87E+03,-5.14E+03
1.26E+01,3.45E+03,-5.97E+03
1.00E+01,4.12E+03,-6.92E+03
7.94E+00,4.92E+03,-7.99E+03
6.31E+00,5.88E+03,-9.19E+03
5.01E+00,7.00E+03,-1.05E+04
3.98E+00,8.32E+03,-1.21E+04
3.16E+00,9.88E+03,-1.37E+04
2.51E+00,1.17E+04,-1.56E+04
2.00E+00,1.38E+04,-1.76E+04
1.59E+00,1.63E+04,-1.98E+04
1.26E+00,1.92E+04,-2.22E+04
1.00E+00,2.26E+04,-2.48E+04
